50 104
 0  1  6
 0  2  5
 0  3  5
 0  4  8
 0  5  8
 0  6  9
 0  7  8
 0  8  5
 0  9 16
 0 10 13
 0 11 15
 0 12 17
 0 13 10
 0 14 16
 0 15 15
 0 16 15
 1 10  6
 1 23 30
 2 16 10
 2 17 21
 3 14 12
 3 22 37
 4  9  7
 4 21 38
 5 13  6
 5 24 32
 6 15  9
 6 20 32
 7 11 12
 7 18 22
 8 12  6
 8 19 27
 9 17 13
 9 27 21
10 19 12
10 31 27
11 18 13
11 29 31
12 23  9
12 32 22
13 20  6
13 25 29
14 21  6
14 28 35
15 22  9
15 26 28
16 24  8
16 30 28
17 25 11
17 36 36
18 30 13
18 40 22
19 31 13
19 35 39
20 29 12
20 34 20
21 28 10
21 38 26
22 32 12
22 39 21
23 27  5
23 37 39
24 26 10
24 33 36
25 33 12
25 43 38
26 39 11
26 42 37
27 40  7
27 45 34
28 37  5
28 44 27
29 34 13
29 47 32
30 38 14
30 48 22
31 35  8
31 46 27
32 36  7
32 41 39
33 44  7
33 49 11
34 43  7
34 49 12
35 41 14
35 49 14
36 47 12
36 49 11
37 42 14
37 49 16
38 46  7
38 49 14
39 45  9
39 49 13
40 48 10
40 49 10
41 49  7
42 49  5
43 49  8
44 49  8
45 49  6
46 49  9
47 49  9
48 49  7
0
49
4

 57
(27 40) (36 49) (28 37) (13 20)


