100 210
 0  1  8
 0  2  9
 0  3  8
 0  4  6
 0  5  8
 0  6  5
 0  7  7
 0  8  5
 0  9  8
 0 10  6
 0 11  6
 0 12  9
 0 13  7
 0 14  5
 0 15 14
 0 16 13
 0 17 13
 0 18 10
 0 19 17
 0 20 18
 0 21 12
 0 22 11
 0 23 14
 0 24 10
 0 25 15
 0 26 18
 0 27 11
 0 28 13
 1 19 13
 1 34 23
 2 26  9
 2 38 31
 3 25 10
 3 33 34
 4 18 13
 4 32 28
 5 16 12
 5 30 32
 6 22 14
 6 36 25
 7 24  8
 7 41 36
 8 20  7
 8 35 22
 9 28 11
 9 42 22
10 27 14
10 40 32
11 17 11
11 37 28
12 15  9
12 29 26
13 21  5
13 31 26
14 23  8
14 39 27
15 29 14
15 52 39
16 33 12
16 48 30
17 41  7
17 44 24
18 39 12
18 47 34
19 37  9
19 55 33
20 32 14
20 56 38
21 31 11
21 45 23
22 34  6
22 53 26
23 42 13
23 46 35
24 38  6
24 54 31
25 36  8
25 51 20
26 35  9
26 43 29
27 40  7
27 49 35
28 30  6
28 50 28
29 47 13
29 65 33
30 43  5
30 68 32
31 54  6
31 64 26
32 44 12
32 59 24
33 53 12
33 60 23
34 50  8
34 61 30
35 46 12
35 69 38
36 52  6
36 62 36
37 55  9
37 70 20
38 56 10
38 67 33
39 45  8
39 58 34
40 48  7
40 63 28
41 51 11
41 57 36
42 49 13
42 66 34
43 62  7
43 74 29
44 70 11
44 78 39
45 64 14
45 83 32
46 59  7
46 77 22
47 65 11
47 75 24
48 67  7
48 73 39
49 57  6
49 81 38
50 69 11
50 71 27
51 61 11
51 84 21
52 58 13
52 72 37
53 63 12
53 80 35
54 60  7
54 76 34
55 68  8
55 82 22
56 66  7
56 79 30
57 84  7
57 97 37
58 74 13
58 88 21
59 79 10
59 85 28
60 72 11
60 89 26
61 75  9
61 86 32
62 80  9
62 92 21
63 77 13
63 95 21
64 73  8
64 87 36
65 78 11
65 93 20
66 76  5
66 98 39
67 83  6
67 96 23
68 81  9
68 90 21
69 71  5
69 94 28
70 82  5
70 91 31
71 94 10
71 99 18
72 91 14
72 99 11
73 98  6
73 99 12
74 90 12
74 99 14
75 92 12
75 99 14
76 96 11
76 99 17
77 87  9
77 99 16
78 97  9
78 99 12
79 89  7
79 99 15
80 86  7
80 99 18
81 85 14
81 99 15
82 88 14
82 99 12
83 95  9
83 99 10
84 93  5
84 99 10
85 99  6
86 99  7
87 99  5
88 99  5
89 99  7
90 99  8
91 99  8
92 99  7
93 99  8
94 99  6
95 99  8
96 99  9
97 99  7
98 99  9
0
99
7

 64
(67 83) (72 99) (66 76) (69 71) (84 99) (28 30) (82 99)
