50 104
 0  1  5
 0  2  6
 0  3  9
 0  4  5
 0  5  8
 0  6  5
 0  7  7
 0  8  6
 0  9 19
 0 10 12
 0 11 18
 0 12 18
 0 13 11
 0 14 11
 0 15 11
 0 16 11
 1 12  5
 1 19 29
 2 10 10
 2 22 29
 3 13 11
 3 17 39
 4 14  7
 4 24 29
 5 16 11
 5 21 33
 6 15  5
 6 20 29
 7 11 10
 7 23 21
 8  9 14
 8 18 36
 9 24  7
 9 30 39
10 20 14
10 26 22
11 21  8
11 28 38
12 19  8
12 29 31
13 22  5
13 27 37
14 17  8
14 32 23
15 18  7
15 25 25
16 23  5
16 31 31
17 30  5
17 35 20
18 26 12
18 38 31
19 32  6
19 39 31
20 25 12
20 37 33
21 31 12
21 34 33
22 28 12
22 33 25
23 27 13
23 36 30
24 29  7
24 40 34
25 35 10
25 44 22
26 34  7
26 46 23
27 39 13
27 42 28
28 37 13
28 43 31
29 38 12
29 47 26
30 33  7
30 45 33
31 40  5
31 48 23
32 36  7
32 41 28
33 48  7
33 49 14
34 46  6
34 49 10
35 45 11
35 49 17
36 41  6
36 49 18
37 42  5
37 49 19
38 47  9
38 49 11
39 44  8
39 49 18
40 43  9
40 49 19
41 49  8
42 49  8
43 49  9
44 49  8
45 49  7
46 49  8
47 49  7
48 49  7
0
49
4

 56
(14 17) (32 36) (26 34) (13 22)
