100 210
 0  1  6
 0  2  5
 0  3  9
 0  4  7
 0  5  6
 0  6  8
 0  7  5
 0  8  6
 0  9  9
 0 10  8
 0 11  6
 0 12  7
 0 13  5
 0 14  7
 0 15 16
 0 16 10
 0 17 11
 0 18 11
 0 19 14
 0 20 18
 0 21 13
 0 22 13
 0 23 18
 0 24 14
 0 25 19
 0 26 18
 0 27 16
 0 28 16
 1 20  8
 1 37 22
 2 16  8
 2 40 31
 3 15  8
 3 31 36
 4 22  8
 4 39 32
 5 23  7
 5 41 20
 6 21  5
 6 35 28
 7 28 14
 7 34 23
 8 18  5
 8 38 28
 9 19 14
 9 42 23
10 24 12
10 29 26
11 17 12
11 30 31
12 26 13
12 36 29
13 27  5
13 33 27
14 25  9
14 32 39
15 34 10
15 53 26
16 37 14
16 47 36
17 30 10
17 54 28
18 41 13
18 52 28
19 32  9
19 49 39
20 42 13
20 50 24
21 31  6
21 45 32
22 38 11
22 56 32
23 33 13
23 44 32
24 39  7
24 46 27
25 36 14
25 48 32
26 40 14
26 51 28
27 29  7
27 55 34
28 35 11
28 43 36
29 48 13
29 66 39
30 44  8
30 62 39
31 55  5
31 65 28
32 47  8
32 63 25
33 46  7
33 64 27
34 43 12
34 69 28
35 54  6
35 57 26
36 53 11
36 67 27
37 49 12
37 61 33
38 51  9
38 60 38
39 50 10
39 68 31
40 56 12
40 70 37
41 52 11
41 59 38
42 45  9
42 58 35
43 68 12
43 80 30
44 60  9
44 82 37
45 64 13
45 84 38
46 67 12
46 74 29
47 61  5
47 79 36
48 70 13
48 76 39
49 62  5
49 71 27
50 65  7
50 72 23
51 66 12
51 83 27
52 69  8
52 81 25
53 58  6
53 75 22
54 63  9
54 77 32
55 59 14
55 78 35
56 57 11
56 73 25
57 74  6
57 93 30
58 82 13
58 85 26
59 73  7
59 87 37
60 77  5
60 98 20
61 80  8
61 95 23
62 75  5
62 94 27
63 81 12
63 89 21
64 84  8
64 97 39
65 76  5
65 96 38
66 71 14
66 91 20
67 72 12
67 86 34
68 78 12
68 88 38
69 83  7
69 90 37
70 79 13
70 92 37
71 88 12
71 99 18
72 97 12
72 99 17
73 92  6
73 99 17
74 95  6
74 99 16
75 98 13
75 99 18
76 96  8
76 99 18
77 89  6
77 99 18
78 91  6
78 99 14
79 87 10
79 99 17
80 86  6
80 99 11
81 93 11
81 99 17
82 94 10
82 99 17
83 85  5
83 99 17
84 90 10
84 99 18
85 99  7
86 99  6
87 99  7
88 99  8
89 99  8
90 99  6
91 99  7
92 99  6
93 99  5
94 99  7
95 99  7
96 99  6
97 99  5
98 99  8
0
99
7

 71
(47 61) (65 76) (62 75) (44 60) (31 55) (93 99) (69 83)

