162 340
 0  1  9
 0  2  5
 0  3  9
 0  4  5
 0  5  8
 0  6  9
 0  7  9
 0  8  5
 0  9  9
 0 10  9
 0 11  9
 0 12  5
 0 13  9
 0 14  7
 0 15  9
 0 16  7
 0 17  6
 0 18  5
 0 19  8
 0 20  9
 0 21 18
 0 22 17
 0 23 14
 0 24 14
 0 25 17
 0 26 14
 0 27 11
 0 28 18
 0 29 16
 0 30 10
 0 31 15
 0 32 12
 0 33 17
 0 34 14
 0 35 19
 0 36 17
 0 37 18
 0 38 18
 0 39 19
 0 40 13
 1 31 11
 1 50 37
 2 39  9
 2 54 28
 3 29 14
 3 44 22
 4 21 12
 4 45 32
 5 40 10
 5 43 24
 6 22  6
 6 52 38
 7 24  7
 7 47 34
 8 26  8
 8 49 24
 9 35  7
 9 41 21
10 30  6
10 60 37
11 27 14
11 42 25
12 25  7
12 57 22
13 34  6
13 51 24
14 23  6
14 48 30
15 33  7
15 56 37
16 36  7
16 46 30
17 38 11
17 59 28
18 37 13
18 53 20
19 32 10
19 55 28
20 28 12
20 58 24
21 42  8
21 74 33
22 56  7
22 71 23
23 47  9
23 70 35
24 46 11
24 65 37
25 57 10
25 75 34
26 51 14
26 73 24
27 59  6
27 64 39
28 54  7
28 69 34
29 43 12
29 80 25
30 52 11
30 68 28
31 50 14
31 79 30
32 44  5
32 63 30
33 53 10
33 62 38
34 55 11
34 76 23
35 49  8
35 72 33
36 41  7
36 67 24
37 60  8
37 78 30
38 45 12
38 66 36
39 58  6
39 61 38
40 48 14
40 77 37
41 76  9
41 87 39
42 77 12
42 88 30
43 70  6
43 98 26
44 65  6
44 89 30
45 80  8
45 84 33
46 61 11
46 92 31
47 64  8
47 90 26
48 72 14
48 94 35
49 73  8
49 99 28
50 79 12
50 81 24
51 71  5
51 96 32
52 74 14
52 82 34
53 78 10
53 100 34
54 69  6
54 91 26
55 75 14
55 83 37
56 68  7
56 95 25
57 62  8
57 97 28
58 63  6
58 93 35
59 66 12
59 86 27
60 67 13
60 85 26
61 97  9
61 112 37
62 81  9
62 103 27
63 83  6
63 118 22
64 85  6
64 104 23
65 94 10
65 109 25
66 84  7
66 114 39
67 88  9
67 101 28
68 91  5
68 110 33
69 99  8
69 105 26
70 86  8
70 111 36
71 96 13
71 119 32
72 87  6
72 106 29
73 92  5
73 116 23
74 100 12
74 102 21
75 93 13
75 117 20
76 95  6
76 120 25
77 82  8
77 107 23
78 89 14
78 115 28
79 90 10
79 108 38
80 98 14
80 113 36
81 110  7
81 124 29
82 107 10
82 126 36
83 114 10
83 123 22
84 119  8
84 134 24
85 106  8
85 133 37
86 115 10
86 136 34
87 105 11
87 130 29
88 102 13
88 139 32
89 109  9
89 121 34
90 120  8
90 135 28
91 111  5
91 128 28
92 103  9
92 138 38
93 101 13
93 132 36
94 108  6
94 140 29
95 118  6
95 129 27
96 104  9
96 131 33
97 117 13
97 127 36
98 113  8
98 137 27
99 116 11
99 122 38
100 112  7
100 125 36
101 138  5
101 154 35
102 128 13
102 142 24
103 127 11
103 158 23
104 133 14
104 145 32
105 137  6
105 149 33
106 132 14
106 143 22
107 123  8
107 157 37
108 139  5
108 144 21
109 129  7
109 155 29
110 140  6
110 160 28
111 124  9
111 156 37
112 135 14
112 151 35
113 134  8
113 146 31
114 125 12
114 148 22
115 122 11
115 150 26
116 130  7
116 147 30
117 131  8
117 159 21
118 121 13
118 152 35
119 126  5
119 153 35
120 136 11
120 141 21
121 146  5
121 161 15
122 153  8
122 161 11
123 157  8
123 161 12
124 148  8
124 161 14
125 150  7
125 161 15
126 159  5
126 161 12
127 160 12
127 161 11
128 156 10
128 161 14
129 145 13
129 161 12
130 147 14
130 161 10
131 144  7
131 161 19
132 149 11
132 161 14
133 142  8
133 161 18
134 141  9
134 161 19
135 143  9
135 161 19
136 154  5
136 161 15
137 158  5
137 161 15
138 152  8
138 161 19
139 155  6
139 161 17
140 151  5
140 161 14
141 161  9
142 161  8
143 161  5
144 161  5
145 161  5
146 161  9
147 161  8
148 161  6
149 161  6
150 161  8
151 161  8
152 161  6
153 161  8
154 161  7
155 161  7
156 161  5
157 161  6
158 161  8
159 161  5
160 161  5
0
161
10

 74
(111 124) (110 140) (44 65) (130 161) (127 161) (118 121) (85 106) (33 62) (66 84) (39 58)
