50 104
 0  1  6
 0  2  8
 0  3  8
 0  4  5
 0  5  7
 0  6  9
 0  7  9
 0  8  6
 0  9 10
 0 10 14
 0 11 16
 0 12 10
 0 13 15
 0 14 12
 0 15 16
 0 16 12
 1 10 13
 1 17 20
 2 16  7
 2 18 36
 3 15  5
 3 22 26
 4 13 10
 4 19 20
 5 14  9
 5 24 29
 6  9 11
 6 23 21
 7 11 13
 7 20 32
 8 12 11
 8 21 36
 9 24 13
 9 30 39
10 21  5
10 32 33
11 23 14
11 25 21
12 20 10
12 29 22
13 19 10
13 28 23
14 18  9
14 31 32
15 22  5
15 26 37
16 17  6
16 27 36
17 30  5
17 38 27
18 25 11
18 33 32
19 28  8
19 35 27
20 32 11
20 34 29
21 27  9
21 39 25
22 31  8
22 36 39
23 26  8
23 40 25
24 29 10
24 37 34
25 33 11
25 42 24
26 37  6
26 43 38
27 34 13
27 45 23
28 38  6
28 48 20
29 35 12
29 44 30
30 36  6
30 47 20
31 39  7
31 46 36
32 40  7
32 41 23
33 43 14
33 49 19
34 46 12
34 49 18
35 45 10
35 49 15
36 48  8
36 49 19
37 44  6
37 49 17
38 47  5
38 49 13
39 41  6
39 49 15
40 42  8
40 49 13
41 49  5
42 49  7
43 49  5
44 49  6
45 49  7
46 49  8
47 49  5
48 49  5
0
49
4

 55
(17 30) (28 38) (31 39) (32 40)


