162 340
 0  1  5
 0  2  7
 0  3  7
 0  4  6
 0  5  7
 0  6  7
 0  7  5
 0  8  8
 0  9  8
 0 10  9
 0 11  7
 0 12  6
 0 13  7
 0 14  7
 0 15  9
 0 16  6
 0 17  6
 0 18  5
 0 19  8
 0 20  9
 0 21 11
 0 22 18
 0 23 16
 0 24 10
 0 25 14
 0 26 17
 0 27 16
 0 28 14
 0 29 14
 0 30 15
 0 31 18
 0 32 16
 0 33 19
 0 34 12
 0 35 12
 0 36 12
 0 37 14
 0 38 12
 0 39 17
 0 40 12
 1 39  9
 1 46 28
 2 38  9
 2 48 31
 3 40  9
 3 42 37
 4 37  6
 4 52 32
 5 35 11
 5 57 33
 6 25  7
 6 60 31
 7 31 14
 7 55 39
 8 29 13
 8 54 23
 9 32  5
 9 51 24
10 34  7
10 50 35
11 28 13
11 44 27
12 30  5
12 53 21
13 24 14
13 58 31
14 23  6
14 56 29
15 22  5
15 43 28
16 33 10
16 49 23
17 21 13
17 47 35
18 36 14
18 41 31
19 26  5
19 59 25
20 27  9
20 45 22
21 51 10
21 77 28
22 47  6
22 78 26
23 44  8
23 72 24
24 58 11
24 69 39
25 60  9
25 64 27
26 54  8
26 68 24
27 52  8
27 62 35
28 55  7
28 66 22
29 57  9
29 79 35
30 45  8
30 80 20
31 43 13
31 74 24
32 46  9
32 76 31
33 48  6
33 65 38
34 49 12
34 61 33
35 42 12
35 70 29
36 53  9
36 73 33
37 56 13
37 71 31
38 59  6
38 75 22
39 41 10
39 67 34
40 50  7
40 63 21
41 64 11
41 82 21
42 76  9
42 97 30
43 67 12
43 95 22
44 78  5
44 86 31
45 71  9
45 99 36
46 70 12
46 85 23
47 62  9
47 98 36
48 66  7
48 90 27
49 77 13
49 91 26
50 63  5
50 92 31
51 80 11
51 81 29
52 61  7
52 87 39
53 79 13
53 93 34
54 75 12
54 89 32
55 68  8
55 88 30
56 69  9
56 84 24
57 74  7
57 100 38
58 65 12
58 94 36
59 72  6
59 83 32
60 73 12
60 96 24
61 84  9
61 103 30
62 97  7
62 113 30
63 99  8
63 120 29
64 96  9
64 118 25
65 82  7
65 111 35
66 98 14
66 114 31
67 83 13
67 109 21
68 89 11
68 105 33
69 90 11
69 110 28
70 87  7
70 107 34
71 91  8
71 112 37
72 94  6
72 117 30
73 86 10
73 104 29
74 88  7
74 115 36
75 100 10
75 108 36
76 92  7
76 106 22
77 95  5
77 101 33
78 93  5
78 116 33
79 81 10
79 119 39
80 85  8
80 102 31
81 115 13
81 138 20
82 111  9
82 134 26
83 103  9
83 128 33
84 116 10
84 121 21
85 104 11
85 125 35
86 101 14
86 123 29
87 102 13
87 137 24
88 108 13
88 132 28
89 113 14
89 130 22
90 105 10
90 135 35
91 119  6
91 122 20
92 106 10
92 133 31
93 107 12
93 136 21
94 109  8
94 126 23
95 110  6
95 127 34
96 117 10
96 140 36
97 114 10
97 139 21
98 120 14
98 129 31
99 112  7
99 131 35
100 118  6
100 124 38
101 136 14
101 159 35
102 133 11
102 144 26
103 124 10
103 150 35
104 139 14
104 158 36
105 125  6
105 152 21
106 132 11
106 157 21
107 129  9
107 145 24
108 134 14
108 146 22
109 130 13
109 151 33
110 123 14
110 148 39
111 127  5
111 153 32
112 122  8
112 147 23
113 140  7
113 143 29
114 137 11
114 155 39
115 135  6
115 156 22
116 131  6
116 141 30
117 128 12
117 149 22
118 121  9
118 142 37
119 138  6
119 154 34
120 126 10
120 160 24
121 158 13
121 161 17
122 143 10
122 161 10
123 154  8
123 161 19
124 159  7
124 161 16
125 160  8
125 161 15
126 156 12
126 161 11
127 157  8
127 161 10
128 148  5
128 161 19
129 144  6
129 161 13
130 152 11
130 161 10
131 153 11
131 161 14
132 147  5
132 161 12
133 145  7
133 161 17
134 151  5
134 161 10
135 141  9
135 161 16
136 150 10
136 161 18
137 149  5
137 161 12
138 146  8
138 161 18
139 142 11
139 161 11
140 155  9
140 161 10
141 161  7
142 161  7
143 161  6
144 161  6
145 161  6
146 161  5
147 161  5
148 161  7
149 161  7
150 161  5
151 161  8
152 161  6
153 161  9
154 161  9
155 161  8
156 161  5
157 161  7
158 161  9
159 161  7
160 161  6
0
161
10

 74
(99 112) (71 91) (62 97) (131 161) (82 111) (68 89) (0 4) (78 93) (35 42) (38 59)
