50 104
 0  1  6
 0  2  5
 0  3  5
 0  4  9
 0  5  5
 0  6  7
 0  7  5
 0  8  5
 0  9 15
 0 10 12
 0 11 17
 0 12 16
 0 13 15
 0 14 14
 0 15 12
 0 16 18
 1 11  9
 1 17 35
 2  9 11
 2 24 21
 3 10  7
 3 19 29
 4 13 14
 4 18 35
 5 16  5
 5 20 36
 6 14 11
 6 22 38
 7 15 12
 7 23 38
 8 12  8
 8 21 28
 9 21 13
 9 25 29
10 19 13
10 32 39
11 17  6
11 30 31
12 23 10
12 26 30
13 24  9
13 27 31
14 20 13
14 31 29
15 18  6
15 29 37
16 22  5
16 28 35
17 32  7
17 35 28
18 27  6
18 36 34
19 25  5
19 33 20
20 29  9
20 38 36
21 31 12
21 39 25
22 26 14
22 34 30
23 28 13
23 40 24
24 30  7
24 37 21
25 34  6
25 46 32
26 36 14
26 43 36
27 38  7
27 45 20
28 33 12
28 42 24
29 39 13
29 44 25
30 40 10
30 41 38
31 35 12
31 48 31
32 37  8
32 47 31
33 41  9
33 49 16
34 47  5
34 49 17
35 48  7
35 49 12
36 44  9
36 49 18
37 46  6
37 49 15
38 43  5
38 49 13
39 42 13
39 49 15
40 45 10
40 49 13
41 49  8
42 49  6
43 49  5
44 49  5
45 49  6
46 49  7
47 49  9
48 49  8
0
49
4

 57
(32 37) (15 18) (25 34) (40 49)

