162 340
 0  1  5
 0  2  7
 0  3  6
 0  4  7
 0  5  8
 0  6  8
 0  7  7
 0  8  7
 0  9  6
 0 10  7
 0 11  6
 0 12  7
 0 13  9
 0 14  6
 0 15  8
 0 16  6
 0 17  7
 0 18  8
 0 19  5
 0 20  9
 0 21 12
 0 22 14
 0 23 14
 0 24 11
 0 25 12
 0 26 17
 0 27 10
 0 28 12
 0 29 18
 0 30 17
 0 31 12
 0 32 13
 0 33 10
 0 34 15
 0 35 13
 0 36 18
 0 37 18
 0 38 17
 0 39 15
 0 40 10
 1 24 13
 1 47 24
 2 27  9
 2 46 21
 3 29  8
 3 54 28
 4 35 10
 4 48 34
 5 34 12
 5 43 35
 6 39  9
 6 42 31
 7 38 13
 7 44 36
 8 30  5
 8 58 21
 9 36 11
 9 57 38
10 40  7
10 53 29
11 26  9
11 49 24
12 23  6
12 41 37
13 28  7
13 55 27
14 31 11
14 45 27
15 25 10
15 60 28
16 37  7
16 56 37
17 21 12
17 50 30
18 33  9
18 59 37
19 32 14
19 51 20
20 22 11
20 52 23
21 47 11
21 73 25
22 50  8
22 74 32
23 48 10
23 75 37
24 52  5
24 68 24
25 57  5
25 78 32
26 44  6
26 63 37
27 56  7
27 61 34
28 42 14
28 67 22
29 41 10
29 70 27
30 49  7
30 66 34
31 60 10
31 79 26
32 58  8
32 71 31
33 53 12
33 72 37
34 59  7
34 69 38
35 55 10
35 62 23
36 54  6
36 76 22
37 43 12
37 65 37
38 45 12
38 77 36
39 51 14
39 64 31
40 46 12
40 80 26
41 66 14
41 95 30
42 72 14
42 89 30
43 74  9
43 99 38
44 67 11
44 93 39
45 75  8
45 85 28
46 77  6
46 90 22
47 63 13
47 82 33
48 73  7
48 88 25
49 70 14
49 81 38
50 68 14
50 83 25
51 71  6
51 87 32
52 65  9
52 92 32
53 62  5
53 98 27
54 61 14
54 97 36
55 64  7
55 91 39
56 79  7
56 84 39
57 78  7
57 86 28
58 80  5
58 96 32
59 69 10
59 94 21
60 76 11
60 100 20
61 99 10
61 107 20
62 90 14
62 118 39
63 93  9
63 104 29
64 95 10
64 113 39
65 89  5
65 114 35
66 96 13
66 120 20
67 83  5
67 111 38
68 82  7
68 110 35
69 85 14
69 105 25
70 88 12
70 116 20
71 84 13
71 108 35
72 98 14
72 103 23
73 100  5
73 102 35
74 86 14
74 112 32
75 91  5
75 115 27
76 81 11
76 119 34
77 97  8
77 117 24
78 94 13
78 109 33
79 92 11
79 106 33
80 87  8
80 101 31
81 119 12
81 124 35
82 103 14
82 130 21
83 102  8
83 138 30
84 118  5
84 122 23
85 120 14
85 127 25
86 107  8
86 123 29
87 108 11
87 136 37
88 110  9
88 139 21
89 115  6
89 137 34
90 109  8
90 135 30
91 116 12
91 121 33
92 113  6
92 133 38
93 104  9
93 131 29
94 111  5
94 128 34
95 106  7
95 132 34
96 112  8
96 140 34
97 117 14
97 129 37
98 114 14
98 134 28
99 105  6
99 125 37
100 101 11
100 126 35
101 128  7
101 150 27
102 122 13
102 141 31
103 130 10
103 158 22
104 133 11
104 146 29
105 139 13
105 147 38
106 134 12
106 142 37
107 140  5
107 145 23
108 126  5
108 160 35
109 125 13
109 153 25
110 121  8
110 156 32
111 129 11
111 148 31
112 124 12
112 144 27
113 127 10
113 159 22
114 135 10
114 149 24
115 137  6
115 155 20
116 138  6
116 152 34
117 131 11
117 154 27
118 136  9
118 151 33
119 123  5
119 143 29
120 132 12
120 157 25
121 159  8
121 161 16
122 154  7
122 161 18
123 143 13
123 161 12
124 142  5
124 161 18
125 155 14
125 161 16
126 146  5
126 161 15
127 141  6
127 161 16
128 149 11
128 161 14
129 157 11
129 161 15
130 153  8
130 161 13
131 150  8
131 161 16
132 156 12
132 161 10
133 152 13
133 161 16
134 145  8
134 161 13
135 148  6
135 161 11
136 144 14
136 161 11
137 147  9
137 161 11
138 160 12
138 161 19
139 158  6
139 161 14
140 151  6
140 161 14
141 161  5
142 161  8
143 161  9
144 161  9
145 161  9
146 161  8
147 161  6
148 161  6
149 161  6
150 161  8
151 161  8
152 161  5
153 161  9
154 161  9
155 161  8
156 161  7
157 161  6
158 161  9
159 161  9
160 161  7
0
161
10

 75
(89 115) (108 126) (101 128) (79 92) (136 161) (94 111) (134 161) (57 86) (123 161) (154 161)
