100 210
 0  1  6
 0  2  7
 0  3  7
 0  4  6
 0  5  9
 0  6  7
 0  7  6
 0  8  7
 0  9  8
 0 10  6
 0 11  7
 0 12  5
 0 13  6
 0 14  6
 0 15 18
 0 16 14
 0 17 10
 0 18 16
 0 19 19
 0 20 19
 0 21 12
 0 22 16
 0 23 15
 0 24 13
 0 25 15
 0 26 16
 0 27 11
 0 28 18
 1 27  6
 1 38 29
 2 18 11
 2 32 35
 3 26 10
 3 33 32
 4 20 12
 4 29 30
 5 21  8
 5 39 31
 6 23  9
 6 36 32
 7 28  8
 7 41 30
 8 16 11
 8 42 37
 9 22  9
 9 40 23
10 19 13
10 34 36
11 17 11
11 35 21
12 24 10
12 31 29
13 25 10
13 37 23
14 15 10
14 30 36
15 32  9
15 55 37
16 37 12
16 54 27
17 40  5
17 44 34
18 30 10
18 56 38
19 29 10
19 51 22
20 42 12
20 45 39
21 39 10
21 50 21
22 38  5
22 52 33
23 35  7
23 53 31
24 36  5
24 43 31
25 34 11
25 48 22
26 31 13
26 49 27
27 41  5
27 46 27
28 33  7
28 47 23
29 52  7
29 63 29
30 46 14
30 67 34
31 50  6
31 60 30
32 47 13
32 68 39
33 45 13
33 59 21
34 44  8
34 65 37
35 54 11
35 70 37
36 43  8
36 66 24
37 49  8
37 58 28
38 56  6
38 61 38
39 48  8
39 57 37
40 55 10
40 64 39
41 51  8
41 62 21
42 53 14
42 69 20
43 58 13
43 83 34
44 61  8
44 79 32
45 63 12
45 84 34
46 59  8
46 77 24
47 60 10
47 74 27
48 66  6
48 72 24
49 67  6
49 78 23
50 70  8
50 73 28
51 65 11
51 71 33
52 57 12
52 75 32
53 62 12
53 82 24
54 68 14
54 80 21
55 69  5
55 76 23
56 64  7
56 81 34
57 77 11
57 88 30
58 74  5
58 93 22
59 83  8
59 92 30
60 81 11
60 87 36
61 71 11
61 96 26
62 84  5
62 98 24
63 82  6
63 95 20
64 75  6
64 97 25
65 79  8
65 85 20
66 78 10
66 90 35
67 73  9
67 94 26
68 76  5
68 89 26
69 80  9
69 86 20
70 72  8
70 91 30
71 90  6
71 99 16
72 92  8
72 99 15
73 85 13
73 99 19
74 88 12
74 99 14
75 91 11
75 99 11
76 87  6
76 99 19
77 98 11
77 99 12
78 94  7
78 99 10
79 96  8
79 99 19
80 93 12
80 99 17
81 86 10
81 99 19
82 89 12
82 99 16
83 95  7
83 99 10
84 97 14
84 99 16
85 99  5
86 99  6
87 99  9
88 99  8
89 99  8
90 99  9
91 99  7
92 99  9
93 99  6
94 99  5
95 99  8
96 99  9
97 99  8
98 99  5
0
99
7

 67
(66 78) (24 36) (59 83) (38 56) (27 41) (70 72) (40 55)

