100 210
 0  1  8
 0  2  5
 0  3  6
 0  4  9
 0  5  9
 0  6  6
 0  7  5
 0  8  7
 0  9  8
 0 10  6
 0 11  5
 0 12  8
 0 13  7
 0 14  7
 0 15 17
 0 16 17
 0 17 17
 0 18 19
 0 19 19
 0 20 13
 0 21 18
 0 22 17
 0 23 14
 0 24 18
 0 25 10
 0 26 10
 0 27 12
 0 28 18
 1 18 11
 1 42 26
 2 19  9
 2 36 36
 3 20  6
 3 40 38
 4 21  9
 4 38 26
 5 26  8
 5 34 31
 6 15  5
 6 37 25
 7 27  6
 7 39 34
 8 23  5
 8 32 36
 9 25  8
 9 31 23
10 22 12
10 30 36
11 17 12
11 29 21
12 16  9
12 35 25
13 28  8
13 41 24
14 24  9
14 33 26
15 30  8
15 55 24
16 40  9
16 48 26
17 37  6
17 56 25
18 29  7
18 44 30
19 41  6
19 51 34
20 36 10
20 43 35
21 35 11
21 54 28
22 32  9
22 52 25
23 38 12
23 50 33
24 31 14
24 45 22
25 33 11
25 53 21
26 39  5
26 47 36
27 42 11
27 49 30
28 34 11
28 46 34
29 50  6
29 68 38
30 44  6
30 66 21
31 51 11
31 67 38
32 54 11
32 61 22
33 46 11
33 63 39
34 52 14
34 70 35
35 56 13
35 59 32
36 45 12
36 69 33
37 53 11
37 62 31
38 55  9
38 64 20
39 49  8
39 60 38
40 47  8
40 57 36
41 43 10
41 58 35
42 48  7
42 65 31
43 67 13
43 81 30
44 59 11
44 80 37
45 64 10
45 77 34
46 58  6
46 82 29
47 63  5
47 73 38
48 60  8
48 83 24
49 70 13
49 78 23
50 61 11
50 84 29
51 57  9
51 75 20
52 62 13
52 79 36
53 69 10
53 74 22
54 65  6
54 72 23
55 66 10
55 76 28
56 68  5
56 71 32
57 75  9
57 92 20
58 73  5
58 86 38
59 81 13
59 85 36
60 76  8
60 91 31
61 74 14
61 88 28
62 71 10
62 97 31
63 82  9
63 87 32
64 84 14
64 94 38
65 83  5
65 98 35
66 78  9
66 96 35
67 80 12
67 93 28
68 79  9
68 95 27
69 72  8
69 90 23
70 77  7
70 89 22
71 92  5
71 99 17
72 95 10
72 99 17
73 89 10
73 99 16
74 88 11
74 99 17
75 97 10
75 99 16
76 91 10
76 99 13
77 93  6
77 99 16
78 98  9
78 99 17
79 86  7
79 99 19
80 90 13
80 99 16
81 87  8
81 99 15
82 85  7
82 99 15
83 96  7
83 99 14
84 94  5
84 99 17
85 99  9
86 99  6
87 99  7
88 99  9
89 99  8
90 99  6
91 99  5
92 99  5
93 99  7
94 99  6
95 99  7
96 99  7
97 99  9
98 99  7
0
99
7

 68
(42 48) (58 73) (65 83) (39 49) (15 30) (69 72) (47 63)
